date,consumption,price
2025-01-01,1026.24,55.07
2025-01-02,1020.17,54.81
2025-01-03,1012.46,55.11
2025-01-04,1042.63,55.17
2025-01-05,1096.82,55.08
2025-01-06,1065.41,54.21
2025-01-07,1122.61,55.09
2025-01-08,1129.25,54.57
2025-01-09,1126.38,54.36
2025-01-10,1166.42,54.77
2025-01-11,1145.89,54.76
2025-01-12,1155.80,54.75
2025-01-13,1163.15,53.56
2025-01-14,1204.51,53.49
2025-01-15,1198.24,53.84
2025-01-16,1188.22,53.14
2025-01-17,1196.65,52.17
2025-01-18,1189.55,53.98
2025-01-19,1199.69,52.87
2025-01-20,1155.75,52.64
2025-01-21,1193.56,52.44
2025-01-22,1207.75,52.35
2025-01-23,1153.97,51.40
2025-01-24,1146.96,51.94
2025-01-25,1138.07,51.18
2025-01-26,1136.23,51.22
2025-01-27,1118.13,50.86
2025-01-28,1055.96,51.41
2025-01-29,1073.98,50.81
2025-01-30,1004.94,50.70
2025-01-31,1001.77,51.30
2025-02-01,1006.19,50.34
2025-02-02,1000.30,49.66
2025-02-03,928.52,48.72
2025-02-04,965.02,49.19
2025-02-05,932.74,49.20
2025-02-06,948.76,49.07
2025-02-07,882.71,47.51
2025-02-08,905.15,48.36
2025-02-09,858.73,48.09
2025-02-10,820.72,47.36
2025-02-11,861.73,48.16
2025-02-12,807.48,47.79
2025-02-13,817.02,48.04
2025-02-14,820.61,46.88
2025-02-15,799.52,46.45
2025-02-16,762.21,46.95
2025-02-17,831.30,46.65
2025-02-18,810.07,45.56
2025-02-19,815.50,45.98
2025-02-20,800.98,46.00
2025-02-21,833.52,46.29
2025-02-22,811.20,45.22
2025-02-23,858.12,47.02
2025-02-24,831.87,45.82
2025-02-25,878.41,44.79
2025-02-26,865.07,45.53
2025-02-27,901.32,44.20
2025-02-28,937.33,45.54
2025-03-01,913.39,45.11
2025-03-02,979.34,45.41
2025-03-03,988.39,44.60
2025-03-04,993.97,44.35
2025-03-05,997.64,45.35
2025-03-06,1024.96,44.64
2025-03-07,1015.76,44.19
2025-03-08,1074.11,45.01
2025-03-09,1106.75,46.01
2025-03-10,1110.27,45.33
2025-03-11,1155.24,45.67
2025-03-12,1127.00,45.09
2025-03-13,1157.13,45.21
2025-03-14,1186.01,45.84
2025-03-15,1144.32,45.65
2025-03-16,1188.63,46.21
2025-03-17,1205.94,45.93
2025-03-18,1166.67,45.76
2025-03-19,1171.71,45.92
2025-03-20,1205.06,46.57
2025-03-21,1190.20,45.98
2025-03-22,1190.91,46.60
2025-03-23,1168.06,47.22
2025-03-24,1194.99,47.78
2025-03-25,1190.92,48.14
2025-03-26,1161.98,47.81
2025-03-27,1167.21,47.90
2025-03-28,1128.79,48.29
2025-03-29,1161.16,48.56
2025-03-30,1097.24,47.99
2025-03-31,1067.87,49.19
2025-04-01,1056.45,48.75
2025-04-02,1016.76,49.28
2025-04-03,1010.79,50.25
2025-04-04,987.06,50.32
2025-04-05,1015.35,51.18
2025-04-06,943.81,51.20
2025-04-07,952.01,50.54
2025-04-08,940.94,50.57
2025-04-09,936.30,52.14
2025-04-10,882.05,51.19
